county,indicator,Unit,Date,Value
Jomvu,Population Density (No. per Sq. Km),No. per Sq. Km,2019,4432
Jomvu,Population (Excludes the special population),Persons,2019,162760
Jomvu,Number of Households,Number,2019,53472
Jomvu,Average Household size,,2019,3
Kisauni,"Population, Total",Persons,2019,291930
Kisauni,"Population, Male",Persons,2019,146748
Kisauni,"Population, Female",Persons,2019,145176
Kisauni,"Population, Intersex",Persons,2019,6
Kisauni,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,101.0828236
Kisauni,Land Area (Sq. Km),sq. km,2019,87.7
Kisauni,Population Density (No. per Sq. Km),No. per Sq. Km,2019,3328
Kisauni,Population (Excludes the special population),Persons,2019,287131
Kisauni,Number of Households,Number,2019,88202
Kisauni,Average Household size,,2019,3
Likoni,"Population, Total",Persons,2019,250358
Likoni,"Population, Male",Persons,2019,126962
Likoni,"Population, Female",Persons,2019,123392
Likoni,"Population, Intersex",Persons,2019,4
Likoni,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,102.8932184
Likoni,Land Area (Sq. Km),sq. km,2019,40.5
Likoni,Population Density (No. per Sq. Km),No. per Sq. Km,2019,6187
Likoni,Population (Excludes the special population),Persons,2019,249230
Likoni,Number of Households,Number,2019,81191
Likoni,Average Household size,,2019,3
Mvita,"Population, Total",Persons,2019,154171
Mvita,"Population, Male",Persons,2019,75565
Mvita,"Population, Female",Persons,2019,78601
Mvita,"Population, Intersex",Persons,2019,5
Mvita,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,96.13745372
Mvita,Land Area (Sq. Km),sq. km,2019,14.6
Mvita,Population Density (No. per Sq. Km),No. per Sq. Km,2019,10543
Mvita,Population (Excludes the special population),Persons,2019,147983
Mvita,Number of Households,Number,2019,38995
Mvita,Average Household size,,2019,4
Nyali,"Population, Total",Persons,2019,216577
Nyali,"Population, Male",Persons,2019,109219
Nyali,"Population, Female",Persons,2019,107346
Nyali,"Population, Intersex",Persons,2019,12
