county,indicator,Unit,Date,Value
Trans Nzoia West,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,100.0237215
Trans Nzoia West,Land Area (Sq. Km),sq. km,2019,355.4
Trans Nzoia West,Population Density (No. per Sq. Km),No. per Sq. Km,2019,569
Trans Nzoia West,Population (Excludes the special population),Persons,2019,199644
Trans Nzoia West,Number of Households,Number,2019,47603
Trans Nzoia West,Average Household size,,2019,4
Trans Nzoia East,"Population, Total",Persons,2019,229538
Trans Nzoia East,"Population, Male",Persons,2019,113498
Trans Nzoia East,"Population, Female",Persons,2019,116029
Trans Nzoia East,"Population, Intersex",Persons,2019,11
Trans Nzoia East,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,97.81864879
Trans Nzoia East,Land Area (Sq. Km),sq. km,2019,629.1
Trans Nzoia East,Population Density (No. per Sq. Km),No. per Sq. Km,2019,365
Trans Nzoia East,Population (Excludes the special population),Persons,2019,229117
Trans Nzoia East,Number of Households,Number,2019,50017
Trans Nzoia East,Average Household size,,2019,5
Kwanza,"Population, Total",Persons,2019,203821
Kwanza,"Population, Male",Persons,2019,100234
Kwanza,"Population, Female",Persons,2019,103584
Kwanza,"Population, Intersex",Persons,2019,3
Kwanza,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,96.76590979
Kwanza,Land Area (Sq. Km),sq. km,2019,465.3
Kwanza,Population Density (No. per Sq. Km),No. per Sq. Km,2019,438
Kwanza,Population (Excludes the special population),Persons,2019,203586
Kwanza,Number of Households,Number,2019,45752
Kwanza,Average Household size,,2019,4
Endebess,"Population, Total",Persons,2019,111782
Endebess,"Population, Male",Persons,2019,56090
Endebess,"Population, Female",Persons,2019,55689
Endebess,"Population, Intersex",Persons,2019,3
Endebess,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,100.7200704
Endebess,Land Area (Sq. Km),sq. km,2019,678.4
Endebess,Population Density (No. per Sq. Km),No. per Sq. Km,2019,165
Endebess,Population (Excludes the special population),Persons,2019,111681
Endebess,Number of Households,Number,2019,23705
Endebess,Average Household size,,2019,5
Kiminini,"Population, Total",Persons,2019,242823
Kiminini,"Population, Male",Persons,2019,118087
Kiminini,"Population, Female",Persons,2019,124730
Kiminini,"Population, Intersex",Persons,2019,6
Kiminini,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,94.67409605
Kiminini,Land Area (Sq. Km),sq. km,2019,366.9
Kiminini,Population Density (No. per Sq. Km),No. per Sq. Km,2019,662
Kiminini,Population (Excludes the special population),Persons,2019,241305
Kiminini,Number of Households,Number,2019,56731
Kiminini,Average Household size,,2019,4
Uasin Gishu,"Population, Total",Persons,2019,1163186
Uasin Gishu,"Population, Male",Persons,2019,580269
Uasin Gishu,"Population, Female",Persons,2019,582889
Uasin Gishu,"Population, Intersex",Persons,2019,28
Uasin Gishu,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,99.55051476
Uasin Gishu,Land Area (Sq. Km),sq. km,2019,3392.2
Uasin Gishu,Population Density (No. per Sq. Km),No. per Sq. Km,2019,343
Uasin Gishu,Population (Excludes the special population),Persons,2019,1152671
Uasin Gishu,Number of Households,Number,2019,304943
Uasin Gishu,Average Household size,,2019,4
Ainabkoi,"Population, Total",Persons,2019,138184
Ainabkoi,"Population, Male",Persons,2019,68348
Ainabkoi,"Population, Female",Persons,2019,69835
Ainabkoi,"Population, Intersex",Persons,2019,1
Ainabkoi,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,97.87069521
Ainabkoi,Land Area (Sq. Km),sq. km,2019,492.9
Ainabkoi,Population Density (No. per Sq. Km),No. per Sq. Km,2019,280
Ainabkoi,Population (Excludes the special population),Persons,2019,137117
Ainabkoi,Number of Households,Number,2019,34892
Ainabkoi,Average Household size,,2019,4
Kapseret,"Population, Total",Persons,2019,198499
Kapseret,"Population, Male",Persons,2019,99650
Kapseret,"Population, Female",Persons,2019,98845
Kapseret,"Population, Intersex",Persons,2019,4
Kapseret,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,100.8144064
Kapseret,Land Area (Sq. Km),sq. km,2019,299.3
Kapseret,Population Density (No. per Sq. Km),No. per Sq. Km,2019,663
Kapseret,Population (Excludes the special population),Persons,2019,196883
Kapseret,Number of Households,Number,2019,59746
Kapseret,Average Household size,,2019,3
Kesses,"Population, Total",Persons,2019,148798
Kesses,"Population, Male",Persons,2019,74301
Kesses,"Population, Female",Persons,2019,74493
Kesses,"Population, Intersex",Persons,2019,4
Kesses,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,99.74225766
Kesses,Land Area (Sq. Km),sq. km,2019,731
Kesses,Population Density (No. per Sq. Km),No. per Sq. Km,2019,204
Kesses,Population (Excludes the special population),Persons,2019,148228
Kesses,Number of Households,Number,2019,34653
Kesses,Average Household size,,2019,4
Moiben,"Population, Total",Persons,2019,181338
Moiben,"Population, Male",Persons,2019,90309
Moiben,"Population, Female",Persons,2019,91027
Moiben,"Population, Intersex",Persons,2019,2
Moiben,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,99.21122304
Moiben,Land Area (Sq. Km),sq. km,2019,769.8
Moiben,Population Density (No. per Sq. Km),No. per Sq. Km,2019,236
Moiben,Population (Excludes the special population),Persons,2019,178105
Moiben,Number of Households,Number,2019,46729
Moiben,Average Household size,,2019,4
Soy,"Population, Total",Persons,2019,229094
Soy,"Population, Male",Persons,2019,114082
Soy,"Population, Female",Persons,2019,115007
Soy,"Population, Intersex",Persons,2019,5
Soy,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,99.19570113
Soy,Land Area (Sq. Km),sq. km,2019,667.6
Soy,Population Density (No. per Sq. Km),No. per Sq. Km,2019,343
Soy,Population (Excludes the special population),Persons,2019,228219
Soy,Number of Households,Number,2019,53784
Soy,Average Household size,,2019,4
Turbo,"Population, Total",Persons,2019,267273
Turbo,"Population, Male",Persons,2019,133579
Turbo,"Population, Female",Persons,2019,133682
Turbo,"Population, Intersex",Persons,2019,12
Turbo,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,99.92295148
Turbo,Land Area (Sq. Km),sq. km,2019,431.4
Turbo,Population Density (No. per Sq. Km),No. per Sq. Km,2019,620
Turbo,Population (Excludes the special population),Persons,2019,264119
Turbo,Number of Households,Number,2019,75139
Turbo,Average Household size,,2019,4
Elgeyo/Marakwet,"Population, Total",Persons,2019,454480
Elgeyo/Marakwet,"Population, Male",Persons,2019,227317
Elgeyo/Marakwet,"Population, Female",Persons,2019,227151
Elgeyo/Marakwet,"Population, Intersex",Persons,2019,12
Elgeyo/Marakwet,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,100.0730791
Elgeyo/Marakwet,Land Area (Sq. Km),sq. km,2019,3032
Elgeyo/Marakwet,Population Density (No. per Sq. Km),No. per Sq. Km,2019,150
Elgeyo/Marakwet,Population (Excludes the special population),Persons,2019,453403
Elgeyo/Marakwet,Number of Households,Number,2019,99861
Elgeyo/Marakwet,Average Household size,,2019,5
Keiyo North,"Population, Total",Persons,2019,99176
Keiyo North,"Population, Male",Persons,2019,49601
Keiyo North,"Population, Female",Persons,2019,49574
Keiyo North,"Population, Intersex",Persons,2019,1
Keiyo North,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,100.054464
Keiyo North,Land Area (Sq. Km),sq. km,2019,543.2
Keiyo North,Population Density (No. per Sq. Km),No. per Sq. Km,2019,183
Keiyo North,Population (Excludes the special population),Persons,2019,98683
Keiyo North,Number of Households,Number,2019,21947
Keiyo North,Average Household size,,2019,4
Keiyo South,"Population, Total",Persons,2019,120750
Keiyo South,"Population, Male",Persons,2019,60919
Keiyo South,"Population, Female",Persons,2019,59827
Keiyo South,"Population, Intersex",Persons,2019,4
Keiyo South,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,101.8252628
Keiyo South,Land Area (Sq. Km),sq. km,2019,897.8
Keiyo South,Population Density (No. per Sq. Km),No. per Sq. Km,2019,134
Keiyo South,Population (Excludes the special population),Persons,2019,120643
Keiyo South,Number of Households,Number,2019,27029
Keiyo South,Average Household size,,2019,4
Marakwet East,"Population, Total",Persons,2019,97041
Marakwet East,"Population, Male",Persons,2019,47849
Marakwet East,"Population, Female",Persons,2019,49190
Marakwet East,"Population, Intersex",Persons,2019,2
Marakwet East,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,97.27383615
Marakwet East,Land Area (Sq. Km),sq. km,2019,853.2
Marakwet East,Population Density (No. per Sq. Km),No. per Sq. Km,2019,114
Marakwet East,Population (Excludes the special population),Persons,2019,96897
Marakwet East,Number of Households,Number,2019,21362
Marakwet East,Average Household size,,2019,5
Marakwet West,"Population, Total",Persons,2019,137513
Marakwet West,"Population, Male",Persons,2019,68948
Marakwet West,"Population, Female",Persons,2019,68560
Marakwet West,"Population, Intersex",Persons,2019,5
Marakwet West,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,100.5659277
Marakwet West,Land Area (Sq. Km),sq. km,2019,737.9
Marakwet West,Population Density (No. per Sq. Km),No. per Sq. Km,2019,186
Marakwet West,Population (Excludes the special population),Persons,2019,137180
Marakwet West,Number of Households,Number,2019,29523
Marakwet West,Average Household size,,2019,5
Nandi,"Population, Total",Persons,2019,885711
Nandi,"Population, Male",Persons,2019,441259
Nandi,"Population, Female",Persons,2019,444430
Nandi,"Population, Intersex",Persons,2019,22
Nandi,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,99.28650181
Nandi,Land Area (Sq. Km),sq. km,2019,2855.8
Nandi,Population Density (No. per Sq. Km),No. per Sq. Km,2019,310
Nandi,Population (Excludes the special population),Persons,2019,883634
Nandi,Number of Households,Number,2019,199426
Nandi,Average Household size,,2019,4
Chesumei,"Population, Total",Persons,2019,164133
Chesumei,"Population, Male",Persons,2019,80949
Chesumei,"Population, Female",Persons,2019,83180
Chesumei,"Population, Intersex",Persons,2019,4
Chesumei,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,97.31786487
Chesumei,Land Area (Sq. Km),sq. km,2019,474.6
Chesumei,Population Density (No. per Sq. Km),No. per Sq. Km,2019,346
Chesumei,Population (Excludes the special population),Persons,2019,163564
Chesumei,Number of Households,Number,2019,39051
Chesumei,Average Household size,,2019,4
Nandi Central,"Population, Total",Persons,2019,147553
Nandi Central,"Population, Male",Persons,2019,73291
Nandi Central,"Population, Female",Persons,2019,74255
Nandi Central,"Population, Intersex",Persons,2019,7
Nandi Central,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,98.70177092
Nandi Central,Land Area (Sq. Km),sq. km,2019,362.9
Nandi Central,Population Density (No. per Sq. Km),No. per Sq. Km,2019,407
Nandi Central,Population (Excludes the special population),Persons,2019,146634
Nandi Central,Number of Households,Number,2019,34400
Nandi Central,Average Household size,,2019,4
Nandi East,"Population, Total",Persons,2019,119173
Nandi East,"Population, Male",Persons,2019,59899
Nandi East,"Population, Female",Persons,2019,59271
Nandi East,"Population, Intersex",Persons,2019,3
Nandi East,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,101.0595401
Nandi East,Land Area (Sq. Km),sq. km,2019,397.6
Nandi East,Population Density (No. per Sq. Km),No. per Sq. Km,2019,300
Nandi East,Population (Excludes the special population),Persons,2019,118997
Nandi East,Number of Households,Number,2019,29253
Nandi East,Average Household size,,2019,4
Nandi North,"Population, Total",Persons,2019,166171
Nandi North,"Population, Male",Persons,2019,82512
Nandi North,"Population, Female",Persons,2019,83656
Nandi North,"Population, Intersex",Persons,2019,3
Nandi North,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,98.63249498
Nandi North,Land Area (Sq. Km),sq. km,2019,606.3
Nandi North,Population Density (No. per Sq. Km),No. per Sq. Km,2019,274
Nandi North,Population (Excludes the special population),Persons,2019,166023
Nandi North,Number of Households,Number,2019,35297
Nandi North,Average Household size,,2019,5
Nandi South,"Population, Total",Persons,2019,172750
Nandi South,"Population, Male",Persons,2019,85718
Nandi South,"Population, Female",Persons,2019,87029
Nandi South,"Population, Intersex",Persons,2019,3
Nandi South,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,98.49360558
Nandi South,Land Area (Sq. Km),sq. km,2019,457.4
Nandi South,Population Density (No. per Sq. Km),No. per Sq. Km,2019,378
Nandi South,Population (Excludes the special population),Persons,2019,172672
Nandi South,Number of Households,Number,2019,37094
Nandi South,Average Household size,,2019,5
Tinderet,"Population, Total",Persons,2019,115931
Tinderet,"Population, Male",Persons,2019,58890
Tinderet,"Population, Female",Persons,2019,57039
Tinderet,"Population, Intersex",Persons,2019,2
Tinderet,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,103.2451481
Tinderet,Land Area (Sq. Km),sq. km,2019,557.1
Tinderet,Population Density (No. per Sq. Km),No. per Sq. Km,2019,208
Tinderet,Population (Excludes the special population),Persons,2019,115744
Tinderet,Number of Households,Number,2019,24331
Tinderet,Average Household size,,2019,5
Baringo,"Population, Total",Persons,2019,666763
Baringo,"Population, Male",Persons,2019,336322
Baringo,"Population, Female",Persons,2019,330428
Baringo,"Population, Intersex",Persons,2019,13
Baringo,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,101.7837471
Baringo,Land Area (Sq. Km),sq. km,2019,10976.4
Baringo,Population Density (No. per Sq. Km),No. per Sq. Km,2019,61
Baringo,Population (Excludes the special population),Persons,2019,662760
Baringo,Number of Households,Number,2019,142518
Baringo,Average Household size,,2019,5
Baringo Central,"Population, Total",Persons,2019,96951
Baringo Central,"Population, Male",Persons,2019,48120
Baringo Central,"Population, Female",Persons,2019,48829
Baringo Central,"Population, Intersex",Persons,2019,2
Baringo Central,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,98.54799402
Baringo Central,Land Area (Sq. Km),sq. km,2019,786.5
Baringo Central,Population Density (No. per Sq. Km),No. per Sq. Km,2019,123
Baringo Central,Population (Excludes the special population),Persons,2019,96195
Baringo Central,Number of Households,Number,2019,23555
Baringo Central,Average Household size,,2019,4
Baringo North,"Population, Total",Persons,2019,104871
Baringo North,"Population, Male",Persons,2019,52369
Baringo North,"Population, Female",Persons,2019,52500
Baringo North,"Population, Intersex",Persons,2019,2
Baringo North,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,99.75047619
Baringo North,Land Area (Sq. Km),sq. km,2019,1629.3
Baringo North,Population Density (No. per Sq. Km),No. per Sq. Km,2019,64
Baringo North,Population (Excludes the special population),Persons,2019,104654
Baringo North,Number of Households,Number,2019,23500
Baringo North,Average Household size,,2019,4
East Pokot,"Population, Total",Persons,2019,79923
East Pokot,"Population, Male",Persons,2019,40462
East Pokot,"Population, Female",Persons,2019,39459
East Pokot,"Population, Intersex",Persons,2019,2
East Pokot,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,102.5418789
East Pokot,Land Area (Sq. Km),sq. km,2019,2500.5
East Pokot,Population Density (No. per Sq. Km),No. per Sq. Km,2019,32
East Pokot,Population (Excludes the special population),Persons,2019,79770
East Pokot,Number of Households,Number,2019,14498
East Pokot,Average Household size,,2019,6
Koibatek,"Population, Total",Persons,2019,129535
Koibatek,"Population, Male",Persons,2019,65295
Koibatek,"Population, Female",Persons,2019,64238
Koibatek,"Population, Intersex",Persons,2019,2
Koibatek,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,101.6454435
Koibatek,Land Area (Sq. Km),sq. km,2019,938.6
Koibatek,Population Density (No. per Sq. Km),No. per Sq. Km,2019,138
Koibatek,Population (Excludes the special population),Persons,2019,128874
Koibatek,Number of Households,Number,2019,30774
Koibatek,Average Household size,,2019,4
Marigat,"Population, Total",Persons,2019,90955
Marigat,"Population, Male",Persons,2019,45706
Marigat,"Population, Female",Persons,2019,45246
Marigat,"Population, Intersex",Persons,2019,3
Marigat,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,101.0166645
Marigat,Land Area (Sq. Km),sq. km,2019,1453.4
Marigat,Population Density (No. per Sq. Km),No. per Sq. Km,2019,63
Marigat,Population (Excludes the special population),Persons,2019,89210
Marigat,Number of Households,Number,2019,19854
Marigat,Average Household size,,2019,4
Mogotio,"Population, Total",Persons,2019,91104
Mogotio,"Population, Male",Persons,2019,46014
Mogotio,"Population, Female",Persons,2019,45088
Mogotio,"Population, Intersex",Persons,2019,2
Mogotio,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,102.0537615
Mogotio,Land Area (Sq. Km),sq. km,2019,1375.3
Mogotio,Population Density (No. per Sq. Km),No. per Sq. Km,2019,66
Mogotio,Population (Excludes the special population),Persons,2019,90911
Mogotio,Number of Households,Number,2019,18184
Mogotio,Average Household size,,2019,5
Tiaty East,"Population, Total",Persons,2019,73424
Tiaty East,"Population, Male",Persons,2019,38356
Tiaty East,"Population, Female",Persons,2019,35068
Tiaty East,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,109.3760694
Tiaty East,Land Area (Sq. Km),sq. km,2019,2106.5
Tiaty East,Population Density (No. per Sq. Km),No. per Sq. Km,2019,35
Tiaty East,Population (Excludes the special population),Persons,2019,73146
Tiaty East,Number of Households,Number,2019,12153
Tiaty East,Average Household size,,2019,6
Lake Baringo,Land Area (Sq. Km),sq. km,2019,186.4
Lake Baringo,Population Density (No. per Sq. Km),No. per Sq. Km,2019,0
Laikipia,"Population, Total",Persons,2019,518560
Laikipia,"Population, Male",Persons,2019,259440
Laikipia,"Population, Female",Persons,2019,259102
Laikipia,"Population, Intersex",Persons,2019,18
Laikipia,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,100.1304506
Laikipia,Land Area (Sq. Km),sq. km,2019,9532.2
Laikipia,Population Density (No. per Sq. Km),No. per Sq. Km,2019,54
Laikipia,Population (Excludes the special population),Persons,2019,513879
Laikipia,Number of Households,Number,2019,149271
Laikipia,Average Household size,,2019,3
Laikipia Central,"Population, Total",Persons,2019,95594
Laikipia Central,"Population, Male",Persons,2019,47888
Laikipia Central,"Population, Female",Persons,2019,47705
Laikipia Central,"Population, Intersex",Persons,2019,1
Laikipia Central,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,100.3836076
Laikipia Central,Land Area (Sq. Km),sq. km,2019,1232.6
Laikipia Central,Population Density (No. per Sq. Km),No. per Sq. Km,2019,78
Laikipia Central,Population (Excludes the special population),Persons,2019,95281
Laikipia Central,Number of Households,Number,2019,30372
Laikipia Central,Average Household size,,2019,3
Laikipia East,"Population, Total",Persons,2019,102815
Laikipia East,"Population, Male",Persons,2019,52078
Laikipia East,"Population, Female",Persons,2019,50732
Laikipia East,"Population, Intersex",Persons,2019,5
Laikipia East,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,102.6531578
Laikipia East,Land Area (Sq. Km),sq. km,2019,1539
Laikipia East,Population Density (No. per Sq. Km),No. per Sq. Km,2019,67
Laikipia East,Population (Excludes the special population),Persons,2019,100874
Laikipia East,Number of Households,Number,2019,33505
Laikipia East,Average Household size,,2019,3
Laikipia North,"Population, Total",Persons,2019,36184
Laikipia North,"Population, Male",Persons,2019,18067
Laikipia North,"Population, Female",Persons,2019,18116
Laikipia North,"Population, Intersex",Persons,2019,1
Laikipia North,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,99.72952087
Laikipia North,Land Area (Sq. Km),sq. km,2019,2575
Laikipia North,Population Density (No. per Sq. Km),No. per Sq. Km,2019,14
Laikipia North,Population (Excludes the special population),Persons,2019,35870
Laikipia North,Number of Households,Number,2019,7752
Laikipia North,Average Household size,,2019,5
Laikipia West,"Population, Total",Persons,2019,129263
Laikipia West,"Population, Male",Persons,2019,65158
Laikipia West,"Population, Female",Persons,2019,64102
Laikipia West,"Population, Intersex",Persons,2019,3
Laikipia West,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,101.6473745
Laikipia West,Land Area (Sq. Km),sq. km,2019,3372.2
Laikipia West,Population Density (No. per Sq. Km),No. per Sq. Km,2019,38
Laikipia West,Population (Excludes the special population),Persons,2019,128693
Laikipia West,Number of Households,Number,2019,33025
Laikipia West,Average Household size,,2019,4
Nyahururu,"Population, Total",Persons,2019,154704
Nyahururu,"Population, Male",Persons,2019,76249
Nyahururu,"Population, Female",Persons,2019,78447
Nyahururu,"Population, Intersex",Persons,2019,8
Nyahururu,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,97.19810828
Nyahururu,Land Area (Sq. Km),sq. km,2019,813.4
Nyahururu,Population Density (No. per Sq. Km),No. per Sq. Km,2019,190
Nyahururu,Population (Excludes the special population),Persons,2019,153161
Nyahururu,Number of Households,Number,2019,44617
Nyahururu,Average Household size,,2019,3
Nakuru,"Population, Total",Persons,2019,2162202
Nakuru,"Population, Male",Persons,2019,1077272
Nakuru,"Population, Female",Persons,2019,1084835
Nakuru,"Population, Intersex",Persons,2019,95
Nakuru,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,99.30284329
Nakuru,Land Area (Sq. Km),sq. km,2019,7462.4
Nakuru,Population Density (No. per Sq. Km),No. per Sq. Km,2019,290
Nakuru,Population (Excludes the special population),Persons,2019,2142667
Nakuru,Number of Households,Number,2019,616046
Nakuru,Average Household size,,2019,3
Gilgil,"Population, Total",Persons,2019,185209
Gilgil,"Population, Male",Persons,2019,92955
Gilgil,"Population, Female",Persons,2019,92247
Gilgil,"Population, Intersex",Persons,2019,7
Gilgil,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,100.7675046
Gilgil,Land Area (Sq. Km),sq. km,2019,1075.4
Gilgil,Population Density (No. per Sq. Km),No. per Sq. Km,2019,172
Gilgil,Population (Excludes the special population),Persons,2019,182862
Gilgil,Number of Households,Number,2019,58920
Gilgil,Average Household size,,2019,3
Kuresoi North,"Population, Total",Persons,2019,175074
Kuresoi North,"Population, Male",Persons,2019,87472
Kuresoi North,"Population, Female",Persons,2019,87599
Kuresoi North,"Population, Intersex",Persons,2019,3
Kuresoi North,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,99.85502118
Kuresoi North,Land Area (Sq. Km),sq. km,2019,618.1
Kuresoi North,Population Density (No. per Sq. Km),No. per Sq. Km,2019,283
Kuresoi North,Population (Excludes the special population),Persons,2019,174898
Kuresoi North,Number of Households,Number,2019,40359
Kuresoi North,Average Household size,,2019,4
Kuresoi South,"Population, Total",Persons,2019,155324
Kuresoi South,"Population, Male",Persons,2019,78204
Kuresoi South,"Population, Female",Persons,2019,77117
Kuresoi South,"Population, Intersex",Persons,2019,3
Kuresoi South,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,101.4095465
Kuresoi South,Land Area (Sq. Km),sq. km,2019,548.2
Kuresoi South,Population Density (No. per Sq. Km),No. per Sq. Km,2019,283
Kuresoi South,Population (Excludes the special population),Persons,2019,154998
Kuresoi South,Number of Households,Number,2019,34627
Kuresoi South,Average Household size,,2019,4
Molo,"Population, Total",Persons,2019,156732
Molo,"Population, Male",Persons,2019,78129
Molo,"Population, Female",Persons,2019,78598
Molo,"Population, Intersex",Persons,2019,5
Molo,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,99.4032927
Molo,Land Area (Sq. Km),sq. km,2019,483.2
Molo,Population Density (No. per Sq. Km),No. per Sq. Km,2019,324
Molo,Population (Excludes the special population),Persons,2019,156279
Molo,Number of Households,Number,2019,41462
Molo,Average Household size,,2019,4
Naivasha,"Population, Total",Persons,2019,355383
Naivasha,"Population, Male",Persons,2019,179222
Naivasha,"Population, Female",Persons,2019,176132
Naivasha,"Population, Intersex",Persons,2019,29
Naivasha,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,101.754366
Naivasha,Land Area (Sq. Km),sq. km,2019,1958.4
Naivasha,Population Density (No. per Sq. Km),No. per Sq. Km,2019,181
Naivasha,Population (Excludes the special population),Persons,2019,349067
Naivasha,Number of Households,Number,2019,117633
Naivasha,Average Household size,,2019,3
Nakuru East,"Population, Total",Persons,2019,193926
Nakuru East,"Population, Male",Persons,2019,92956
Nakuru East,"Population, Female",Persons,2019,100960
Nakuru East,"Population, Intersex",Persons,2019,10
Nakuru East,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,92.07210777
Nakuru East,Land Area (Sq. Km),sq. km,2019,230.9
Nakuru East,Population Density (No. per Sq. Km),No. per Sq. Km,2019,840
Nakuru East,Population (Excludes the special population),Persons,2019,190161
Nakuru East,Number of Households,Number,2019,61398
Nakuru East,Average Household size,,2019,3
Nakuru North,"Population, Total",Persons,2019,218050
Nakuru North,"Population, Male",Persons,2019,106155
Nakuru North,"Population, Female",Persons,2019,111880
Nakuru North,"Population, Intersex",Persons,2019,15
Nakuru North,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,94.88291026
Nakuru North,Land Area (Sq. Km),sq. km,2019,387.3
Nakuru North,Population Density (No. per Sq. Km),No. per Sq. Km,2019,563
Nakuru North,Population (Excludes the special population),Persons,2019,217425
Nakuru North,Number of Households,Number,2019,61728
Nakuru North,Average Household size,,2019,4
Nakuru West,"Population, Total",Persons,2019,198661
Nakuru West,"Population, Male",Persons,2019,101797
Nakuru West,"Population, Female",Persons,2019,96854
Nakuru West,"Population, Intersex",Persons,2019,10
Nakuru West,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,105.1035579
Nakuru West,Land Area (Sq. Km),sq. km,2019,71.9
Nakuru West,Population Density (No. per Sq. Km),No. per Sq. Km,2019,2764
Nakuru West,Population (Excludes the special population),Persons,2019,194723
Nakuru West,Number of Households,Number,2019,64481
Nakuru West,Average Household size,,2019,3
Njoro,"Population, Total",Persons,2019,238773
Njoro,"Population, Male",Persons,2019,118361
Njoro,"Population, Female",Persons,2019,120408
Njoro,"Population, Intersex",Persons,2019,4
Njoro,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,98.29994685
Njoro,Land Area (Sq. Km),sq. km,2019,699.5
Njoro,Population Density (No. per Sq. Km),No. per Sq. Km,2019,341
Njoro,Population (Excludes the special population),Persons,2019,238233
Njoro,Number of Households,Number,2019,61271
Njoro,Average Household size,,2019,4
Rongai,"Population, Total",Persons,2019,199906
Rongai,"Population, Male",Persons,2019,99976
Rongai,"Population, Female",Persons,2019,99922
Rongai,"Population, Intersex",Persons,2019,8
Rongai,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,100.0540422
Rongai,Land Area (Sq. Km),sq. km,2019,988.1
Rongai,Population Density (No. per Sq. Km),No. per Sq. Km,2019,202
Rongai,Population (Excludes the special population),Persons,2019,199004
Rongai,Number of Households,Number,2019,52348
Rongai,Average Household size,,2019,4
Subukia,"Population, Total",Persons,2019,85164
Subukia,"Population, Male",Persons,2019,42045
Subukia,"Population, Female",Persons,2019,43118
Subukia,"Population, Intersex",Persons,2019,1
Subukia,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,97.51148012
Subukia,Land Area (Sq. Km),sq. km,2019,401.5
Subukia,Population Density (No. per Sq. Km),No. per Sq. Km,2019,212
Subukia,Population (Excludes the special population),Persons,2019,85017
Subukia,Number of Households,Number,2019,21819
Subukia,Average Household size,,2019,4
Narok,"Population, Total",Persons,2019,1157873
Narok,"Population, Male",Persons,2019,579042
Narok,"Population, Female",Persons,2019,578805
Narok,"Population, Intersex",Persons,2019,26
Narok,Sex Ratio (No. of Males per 100 Females),No. of Males per 100 Females,2019,100.0409464
Narok,Land Area (Sq. Km),sq. km,2019,17950.3
