,county,num_households,total_inhabitants,avg_household_size,avg_household_per_dwelling,pct_own_dwelling,avg_rooms_occupied,percent_grid_connect,percent_any_elect,percent_bank_account,percent_mobile_money,total_percent_batteries,total_percent_solar,total_percent_generator,grid_generator_pct,grid_battery_pct,grid_solar_pct,avg_electricity_use_grid,avg_typical_hours_elect_grid,avg_worst_hours_elect_grid,not_grid_generator_pct,not_grid_battery_pct,not_grid_solar_pct,avg_distance_to_connect
23,MANDERA,166776.36059570312,731691.2240600586,4.387259809762932,1.5342298455521548,0.9374992831561267,1.9486211051457876,0.12962980591876747,0.5995233078088191,0.06466180194266954,0.5646603768552195,0.0,0.5094290025480052,0.006524476701117923,0.0212592001252685,0.0,0.30498773316630867,70.0089128252061,0.0,12.43581352210698,0.004329939996244171,0.0,0.5398777498189421,595.6060606060606
24,MARSABIT,75674.86852264404,296660.1088104248,3.9201932504402803,1.2447134347136575,0.9247376922924647,1.9101814212206951,0.11728835139406954,0.4321184689456649,0.1911064397813555,0.30348937494600176,0.013352244563256715,0.3255056144115248,0.0,0.0,0.0,0.11699128873949316,78.14497159235687,0.0,8.637704641251212,0.0,0.015126394428286928,0.35321149270002666,548.2688888888889
25,MERU,459746.08447265625,1912517.3466796875,4.15994265372245,1.8015964455056848,0.9053097722937313,3.255422970233481,0.19215555583388796,0.6418524509273934,0.6183034031264759,0.7728132447039505,0.17274918463213657,0.34404464191007283,0.007253448678592469,0.0,0.0,0.029793200265159265,43.71509027657258,10.336842094179824,11.592561701813954,0.008978769032792886,0.2138396641576893,0.41879314191765893,10.608682978723404
26,MIGORI,55586.299045562744,294343.0912780762,5.295245345202965,1.4145053604857591,0.9357705029728566,3.0308387219863437,0.06670529779130738,0.3941698476730188,0.42483505464138444,0.8376996452903142,0.019885045922114004,0.36640675166813735,0.0,0.0,0.0,0.5948792162411718,40.2678173085484,9.084368238385562,9.644579766671987,0.0,0.021306288222846397,0.3500771574355856,31.671563793103445
27,MOMBASA,348553.0537109375,1254046.3662719727,3.59786366213271,4.465478246862341,0.4322614057024872,3.095793834789548,0.9146905630878406,0.9146905630878406,0.7932892799449887,0.9405929637230425,0.0,0.0,0.0,0.0,0.0,0.0,62.92865912159162,3.990792129118224,4.278125976454139,0.0,0.0,0.0,127.55
28,MURANG'A,339823.4443359375,1355233.9991455078,3.9880532721743918,1.86126911887583,0.8924020712033521,3.386070642074312,0.441735512410947,0.664698859794229,0.7838403863668211,0.9101763661556939,0.11265307117904892,0.16192121897386816,0.0,0.0,0.0,0.11162777415750613,47.53588972687768,9.339896724378484,10.26055370288695,0.0,0.2017915767229933,0.20171669425622432,36.18596153846154
29,NAIROBI,1304591.6689453125,4276016.8583984375,3.277666844105598,4.1334616612846435,0.15140711544284843,2.5500385431940735,0.9764550894568739,0.9764550894568739,0.7306397642482825,0.8919489992307212,0.011241514701406559,0.09555487192749784,0.02423461988584133,0.024818980562968,0.011512577304153683,0.0978589522029606,60.91289930339579,7.521719797655527,8.242618010124877,0.0,0.0,0.0,128.05072857142858
30,NAKURU,544677.7676086426,2228196.509185791,4.090852687027198,1.4345761073927958,0.7785882237291251,2.946161529058163,0.48853228815488225,0.48853228815488225,0.44442229028597746,0.829838588766572,0.0,0.0,0.003851073498777508,0.007882945697043835,0.0,0.0,37.30428888248925,4.71563970229988,7.19034942142609,0.0,0.0,0.0,41.26333623188406
31,NANDI,204766.98364257812,1041928.1907348633,5.0883603020375325,1.323620324784067,0.9398127395818678,3.3745438220307498,0.2649857626552733,0.658843009483084,0.4746293675929623,0.8541359367351584,0.006656759651770004,0.45657930180654505,0.0,0.0,0.0,0.23669971680829896,96.45007787873578,12.89919326937703,12.119965736744328,0.0,0.009056640420759548,0.5358498200669397,11.316877083333333
32,NAROK,224892.08618736267,1089184.8499469757,4.84314440944601,1.3648993901859816,0.8478402783618368,3.0306754520346675,0.2041018691390287,0.7739704169804245,0.48633777924014465,0.7560601046061657,0.08849808618651428,0.6379010273605366,0.03524282102290412,0.0836302586951815,0.040733324241250354,0.45861709746714074,51.84585285631453,0.0,15.535151799344018,0.022834239963571017,0.10074698691136352,0.6838769931015902,277.8244827586207
33,NYAMIRA,116620.20812988281,445156.2607421875,3.8171451404580408,1.0904439794120233,0.8813337025582105,2.7338560114777293,0.3650796910621741,0.5746683022300836,0.27340481656333127,0.5463431195772614,0.07915236376904951,0.21189043006308628,0.0,0.0,0.02576818040983069,0.05153636081966138,29.744379100589473,10.847334885725994,11.001943968184976,0.0,0.10984831236926756,0.304094149547014,74.85166666666667
34,NYANDARUA,191217.09692382812,706168.5923461914,3.693020151997683,1.1128819510996626,1.0,2.4067183246978883,0.01809304970690621,0.6406729576889051,0.6708301527401386,0.9435590244501687,0.2068118901210727,0.5605363409456771,0.0,0.0,0.0,0.0,56.325,11.5,12.0,0.0,0.21062269704816786,0.5708650303151027,72.98
