County,hotel_locations,towns_in_county,Percent_trees,Percent_shrub,Percent_urban,rivers_in_county,roads_in_county,Area (km2),Population (2019 Census),avg_household_size,avg_household_per_dwelling,pct_own_dwelling,avg_rooms_occupied,percent_grid_connect,percent_any_elect,percent_bank_account,percent_mobile_money,total_percent_batteries,total_percent_solar,total_percent_generator,grid_generator_pct,grid_battery_pct,grid_solar_pct,avg_electricity_use_grid,avg_typical_hours_elect_grid,avg_worst_hours_elect_grid,not_grid_generator_pct,not_grid_battery_pct,not_grid_solar_pct,avg_distance_to_connect,GDP percapita in US dollar (PPP)
narok,13.0,2.0,0.2872673627425288,0.68428164786228,0.0004385851337599,153.0,8.0,17921.2,1157873.0,4.84314440944601,1.3648993901859816,0.8478402783618368,3.0306754520346675,0.2041018691390287,0.7739704169804245,0.4863377792401446,0.7560601046061657,0.0884980861865142,0.6379010273605366,0.0352428210229041,0.0836302586951815,0.0407333242412503,0.4586170974671407,51.84585285631453,0.0,15.535151799344018,0.022834239963571,0.1007469869113635,0.6838769931015902,277.8244827586207,3091.01257219056
nyeri,8.0,2.0,0.3015323339406208,0.0808350622734834,0.0030061033569429,13.0,17.0,2361.0,759164.0,3.605884453920794,2.866503666892492,0.712433952414505,2.9049950335648056,0.5069282340900413,0.7740804713693258,0.7515039270896063,0.871606478534071,0.1314760029314751,0.3813853539073104,0.0,0.0,0.0,0.2633556583049575,96.82115430647488,8.004118216440602,7.12562108445468,0.0,0.2666467886045707,0.5027319596117871,1.055940625,4601.113856821451
muranga,1.0,1.0,0.08216409836424296,0.10096757203690135,0.0009618101959820001,34.5,8.0,2325.8,1056640.0,4.077363392497667,1.5096443816882763,0.8800780938447262,2.8456663015455548,0.2057890620545652,0.5659093877475225,0.4233522539928294,0.8127923080574772,0.0205174299818488,0.3210751400651226,0.0008528431274374001,0.0,0.0,0.14031940500771833,66.17343213573308,4.170516409705161,8.755063202135805,0.0,0.0308916058173073,0.382713723139475,77.12990350877193,3269.798606904906
kisii,1.0,1.0,0.0,0.0,0.0038099351940556,5.0,8.0,1317.9,1266860.0,3.953625514948983,1.485058917824398,1.0,3.4808350157986254,0.3645006432053444,0.5200367896156497,0.4218694533442744,0.784083271785141,0.0436449902620584,0.17157793076376,0.01346898848171,0.0,0.0,0.0975539938786033,122.60050601928728,6.480465053801795,7.892816323694233,0.021194338495707,0.0686782603245987,0.2140355230787588,254.47000892857145,2578.027564213883
uasin gishu,1.0,1.0,0.0315745732730774,0.0022428678777837,0.0020631637005297,33.0,11.0,2955.3,1163186.0,4.063874097968137,2.0228189685081785,0.6928438477935963,2.439604977633916,0.5161609299570963,0.7321423282525805,0.3450918387035143,0.8714772002006723,0.0211498140415836,0.2879415897109804,0.0080198853969559,0.0,0.0195230671507136,0.1608664200288354,47.5880329527054,4.350240690292097,4.788944897526022,0.0165755225105008,0.0228852323655355,0.4235057510586275,41.20661764705883,2785.4530573786137
bomet,0.0,1.0,0.1480587253374367,0.0028188645917949,0.0001269705219431,23.0,11.0,1997.9,875689.0,4.094664518855962,1.0,0.9607482686211654,2.197016123784836,0.1262670216245372,0.7292191161462362,0.3869398737109901,0.9141850213647302,0.0074290244390472,0.6929340700759445,0.0,0.0,0.0,0.7714682641596657,85.36101833946374,0.7508457927650105,1.0297313729348714,0.0,0.0085026256567081,0.6815847459368096,23.05,3638.277973116026
elgeyo-marakwet,1.0,0.0,0.1959080393716903,0.0624694934062399,0.0004364768587881,36.0,1.0,3049.7,454480.0,5.4888631724174095,1.0,0.8974768544225089,2.3079915790983145,0.1037577107984484,0.7617475434914419,0.4320585469646733,0.905180272830814,0.0,0.6941020073219842,0.0013519590995907,0.0130299626812026,0.0,0.3480432861432291,37.41012996571343,8.548488307655537,8.66575797178636,0.0,0.0,0.7341651254586373,40.033684,7008.009153318078
kericho,2.0,2.0,0.1377031516749236,0.0,0.0030084412800859,25.0,19.0,2454.5,901777.0,4.561485738231085,1.2645180997196823,0.9791582626279216,2.253149994498987,0.3200004535718348,0.6951322185791975,0.5024310957776826,0.7437325639639578,0.0,0.595614607687291,0.0,0.0,0.0,0.6890079067667121,40.85193656422829,8.566986374008573,12.009488060051977,0.0,0.0,0.5516647282749202,307.6124615384616,3029.573830337212
nandi,0.0,0.0,0.1352845010972088,0.0158860716308524,0.0006940503394712,24.0,2.0,2884.5,885711.0,5.0883603020375325,1.323620324784067,0.9398127395818678,3.3745438220307498,0.2649857626552733,0.658843009483084,0.4746293675929623,0.8541359367351584,0.00665675965177,0.456579301806545,0.0,0.0,0.0,0.2366997168082989,96.45007787873578,12.89919326937703,12.119965736744328,0.0,0.0090566404207595,0.5358498200669397,11.316877083333331,2698.39710695701
kilifi,4.0,2.0,0.1668937915318781,0.118093500301652,0.0010319485251327,70.0,9.0,12245.9,1453787.0,5.324225108374571,1.8616879837473048,0.8581397067299285,2.9147073517547804,0.3148788795017099,0.4956542842841518,0.5457952696247425,0.8008457212580727,0.0316870380283339,0.2095929782285407,0.0199206825229537,0.0,0.0002167131604725,0.1737281924662542,81.26339036780608,0.0,4.944590486234437,0.0290761471613447,0.0461506712976454,0.2260762878456551,122.09378848484847,1638.47936458367
trans-nzoia,1.0,1.0,0.08216409836424296,0.10096757203690135,0.0009618101959820001,34.5,8.0,2469.9,990341.0,4.077363392497667,1.5096443816882763,0.8800780938447262,2.8456663015455548,0.2057890620545652,0.5659093877475225,0.4233522539928294,0.8127923080574772,0.0205174299818488,0.3210751400651226,0.0008528431274374001,0.0,0.0,0.14031940500771833,66.17343213573308,4.170516409705161,8.755063202135805,0.0,0.0308916058173073,0.382713723139475,77.12990350877193,2352.7249704899627
homa bay,1.0,1.0,0.0170781090807619,0.0590014281494142,0.0045796703857612,23.0,8.0,3154.7,1131950.0,3.859682583998771,1.5622991306661795,0.8476915714709591,2.9073407213886795,0.2021500303666326,0.5571504732649614,0.3058622790313622,0.7172520837595311,0.0685907616223302,0.311012122410683,0.0299275376054422,0.0,0.0,0.0,79.46530168999179,12.191928569559142,23.32613471537348,0.0375102321796098,0.0859694983178974,0.3898127896822521,211.92118421052632,2014.223243076108
kajiado,9.0,3.0,0.1337893638548285,0.2847335866092794,0.00116015648265,167.0,8.0,21292.7,1117840.0,4.909005506472601,1.2757574431775207,0.8919504195444067,3.106562878778796,0.4468326090908768,0.7418277609890854,0.6142843418727647,0.8885045420965876,0.0190511275584531,0.296432505925954,0.0190511275584531,0.0,0.0,0.0884886383406504,109.61462219829056,0.0,14.350891158013134,0.0344400770391452,0.0344400770391452,0.4644035440323085,145.02982692307694,1926.0359264295428
embu,1.0,1.0,0.1056756573990529,0.0746508361891567,0.0007969633602672,29.0,10.0,2555.9,608599.0,4.324890878403074,1.4615076550354524,0.9535539575804968,3.992038745022213,0.1177758150182237,0.7246822012126234,0.6423464391539484,0.9164907328594828,0.1202099176983601,0.53563066923983,0.0,0.0,0.0,0.0,58.56617064436703,2.6126916066904844,2.6126916066904844,0.0,0.1362577899639458,0.6071366874292778,68.8576923076923,3402.8974743632507
nyamira,0.0,1.0,0.0,0.0,0.0001815013283453,10.0,2.0,912.5,605576.0,3.8171451404580408,1.090443979412023,0.8813337025582105,2.7338560114777293,0.3650796910621741,0.5746683022300836,0.2734048165633312,0.5463431195772614,0.0791523637690495,0.2118904300630862,0.0,0.0,0.0257681804098306,0.0515363608196613,29.74437910058948,10.847334885725994,11.001943968184976,0.0,0.1098483123692675,0.304094149547014,74.85166666666667,3403.3713357200418
